countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Mali,15,8,9,4,2,1,5,11,14,7,13,6,16,12,10,3,Africa,17599.694
Malta,10,13,15,4,6,1,2,16,12,3,9,5,13,7,8,11,EUROPE,418.67
Marshall Islands,4,16,10,3,2,1,6,15,12,5,8,7,14,10,12,8,Oceiana ,52.993
Mauritania,10,12,9,5,3,1,2,15,16,6,14,7,13,8,11,3,Africa,4067.564
Mauritius,11,14,13,7,6,1,4,12,15,5,8,2,16,10,9,3,Africa,1273.212
Mexico,12,13,7,8,3,2,4,15,14,5,9,6,16,10,11,1,North America,127017.224
Micronesia (Federated States of),8,14,10,10,4,1,4,12,15,6,7,2,16,12,9,3,Oceiana ,526.344
Monaco,8,13,16,6,4,2,1,9,13,7,5,10,13,10,12,2,EUROPE,37.731
Mongolia,11,6,8,10,1,3,4,13,12,5,7,9,16,15,14,2,Asia,2959.134
Montenegro,11,16,15,11,4,1,3,14,13,7,6,5,9,8,10,2,EUROPE,625.781
Morocco,14,7,6,2,5,10,11,15,16,12,9,1,13,8,4,3,Africa,34377.511
Mozambique,16,8,11,6,2,1,5,14,15,9,12,3,13,7,10,4,Africa,27977.863
Myanmar,14,12,16,7,2,1,3,9,13,14,6,8,9,5,11,4,Asia,53897.154
Namibia,15,14,9,6,2,1,4,13,15,7,12,3,11,10,8,5,Africa,2458.83
Nauru,12,8,5,14,3,1,3,13,16,5,9,11,15,7,9,2,Oceiana ,10.222
Nepal,16,9,8,7,3,1,6,13,14,10,11,5,15,12,4,2,Asia,28513.7
Netherlands,6,16,13,3,10,1,4,14,15,7,2,9,11,5,8,12,EUROPE,16924.929
New Zealand,8,16,13,2,10,4,5,15,14,1,3,7,11,6,9,12,Austrailaia ,4528.526
